ID_Movimiento,Codigo,Tipo_Movimiento,Cantidad_Movida,Fecha_Hora_Movimiento,Usuario,Razon_Movimiento,FechaVto,Nombre
,8445290271037,Salida,1,2023-10-05 21:38:50.883979,,,2023-10-05,Café dolca clasico x 50
,7613287953469,Salida,2,2023-10-05 21:47:13.572344,,,2023-10-05,Café dolca clásico x 100
,7613287953483,Salida,2,2023-10-05 21:49:52.268560,,,2023-10-05,Café dolca clásico x 170
,7613287953490,Salida,7,2023-10-05 21:56:18.125473,,,2023-10-05,Nescafe Dolca 170G
,7613287953490,Salida,7,2023-10-05 21:58:20.893869,,,2023-10-05,Nescafe Dolca 170G
,7613287953490,Salida,7,2023-10-05 21:59:53.730531,,,2023-10-05,Nescafe Dolca 170G
,7613287953384,Salida,28,2023-10-05 22:07:49.187189,,,2023-10-05,Cafe dolca d/p suave x 170
,7790150079904,Salida,2,2023-10-05 22:14:51.183692,,,2023-10-05,Cafe Saquitos La Virginia 20U
,7790070431004,Salida,10,2023-10-05 22:36:40.975887,,,2023-10-05,Arroz gallo oro x kilo
,7790203000282,Salida,76,2023-10-05 22:45:26.612673,,,2023-10-05,Arroz Noble Largo Fino 500 Grs
,7797086100023,Salida,14,2023-10-05 22:47:11.913426,,,2028-10-05,Sal Fina san antonio x500gr
,7792808000063,Salida,10,2023-10-05 23:01:15.404948,,,2023-10-05,Arroz Luchador X500G
,7798053337008,Salida,6,2023-10-05 23:04:53.038091,,,2023-10-05,Chicago Guiseros X500G
,7792808002593,Salida,5,2023-10-05 23:05:44.532214,,,2023-10-05,Arroz dos chinos x 500
,7792808002593,Salida,50,2023-10-05 23:06:57.800259,,,2023-10-05,Arroz dos chinos x 500
,7798053330184,Salida,8,2023-10-05 23:07:08.868888,,,2023-10-05,Fideo.Mo�itos 500G
,7792808002593,Salida,20,2023-10-05 23:08:53.837684,,,2023-10-05,Arroz dos chinos x 500
,7798053330153,Salida,9,2023-10-05 23:11:23.044761,,,2023-10-05,Fideo Cotella  X 500G
,7798066030743,Salida,6,2023-10-05 23:13:06.122163,,,2023-10-05,Polenta la española
,7791414000023,Salida,4,2023-10-05 23:34:09.632330,,,2023-10-05,Yerba broche de oro 500g
,7791414000023,Salida,4,2023-10-05 23:34:47.295800,,,2023-10-05,Yerba broche de oro 500g
,7791414000023,Salida,2,2023-10-05 23:38:09.951791,,,2023-10-05,Yerba broche de oro 500g
,7793395000436,Salida,6,2023-10-05 23:44:48.973531,,,2023-10-05,Yerba probell 500g 
,7793395000436,Salida,10,2023-10-05 23:45:32.629062,,,2023-10-05,Yerba probell 500g 
,7793670400517,Salida,3,2023-10-05 23:50:09.743057,,,2023-10-05,Yerba verde flor cedron 500g
,7792280005693,Salida,6,2023-10-05 23:55:23.565598,,,2023-10-05,Yerba cachamate h. Digestivas 500g
,7790070509123,Salida,3,2023-10-05 23:58:48.119920,,,2023-10-05,Yerba Chamigo 500G
,7790710334535,Salida,48,2023-10-06 00:34:06.845773,,,2023-10-06,Yerba CBSE Hiervas Serranas. 500 g
,7790710334535,Salida,4,2023-10-06 00:35:00.225012,,,2023-10-06,Yerba CBSE Hiervas Serranas. 500 g
,7794606000023,Salida,5,2023-10-06 12:43:16.870149,,,2023-10-06,Polenta jose Lopez X500G
,7794606000078,Salida,110,2023-10-06 12:47:48.988308,,,2023-10-06,Maiz Piscingallo X500G José lopez
,7794606000078,Salida,5,2023-10-06 12:49:57.146096,,,2023-10-06,Maiz Piscingallo X500G José lopez
,7794606000207,Salida,7,2023-10-06 12:59:21.122846,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,97,2023-10-06 13:01:45.642620,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,15,2023-10-06 13:02:25.267025,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,23,2023-10-06 13:03:40.208001,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,23,2023-10-06 13:03:51.691472,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,210,2023-10-06 13:05:27.378707,,,2023-10-06,Porotos José lopez
,7794606000207,Salida,22,2023-10-06 13:05:55.597694,,,2023-10-06,Porotos José lopez
,7794606000023,Salida,100,2023-10-06 10:15:47.499811,,,2023-10-06,Polenta jose Lopez X500G
,7798066030682,Salida,4,2023-10-06 10:29:54.467191,,,2023-10-06,Lentejas la española 400gr
,7798066030620,Salida,150,2023-10-06 10:42:31.880904,,,2023-10-06,Burgol la española
,7798066030743,Salida,72,2023-10-06 11:07:03.652978,,,2023-10-06,Polenta la española
,7790150211939,Salida,4,2023-10-06 11:13:52.211278,,,2023-10-06,Te La Virginia 50 Saquitos
,7792710006153,Salida,2,2023-10-06 11:20:21.047353,,,2023-10-06,Yerba Mate Cocido X25Saq
